action_name,"""as in…""",example sentence from propbank
aim,aiming a gun,The hunter aimed an arrow at the animal
attach,connecting two things into one,The construction worker attached the door to the frame
bend,bending a material or a person bending at the waist,The kind gentleman bent to pick up the girl's purse or I tried to bend the dough into a braid
carry,carrying a box,That player can really carry the ball
catch,catching a ball,He quickly caught the elevator door and pushed it open
chop,chopping wood with an axe,The chef chopped the meat into small cubes for the stew
climb,ascending a trail or stairs,Did you ever climb up the hill behind your house?
close,closing a door,I can't close my car window
cover,covering a boiling pot of water,Cover the meat with a layer of cheese
crawl,crawling in the mud,The crocodile was crawling along the riverbed
crouch,crouching to make your body shorter,She crouched down by the car window
cut,cutting through butter with a knife,He cut his finger on the broken glass
dance,dancing to the music,I danced an Irish Jig
deflate,letting the air out of a pool toy,Please deflate the air mattress for me
descend,climbing down stairs or dismounting from something high,The children descended the stairs one by one
detach,,
dip,dipping bread in fondue,Dip the garment into the cleaning solution
drink,drinking from a mug of root beer,Bob drank three glasses of orange juice.
drive,operating a car,He drives a bread truck
drop,dropping an apple to test gravity,The chef dropped bits of chocolate across the cake
duck,ducking to avoid a punch,She had to duck to get through the door frame
eat,eating food,She was eating an apple
explode,a watermelon exploding,Fireworks exploded about 2 feet above the ground
fall,falling to the ground,The branch fell from the tree
film,operating a camera,They filmed the coronation very carefully
filter,draining water from noodles or panning for gold,There are many mechanisms that filter out impurities from our water
flip,flip a pancake,Flip a coin to see who does the dishes
fold,folding origami,Do you know how to fold a paper airplane
gather,gather spilled deck of cards,We are gathering wood to make a fire
give,hand a present to another person,He gave her a bouquet of roses
grasp,grasp an object with my hand,The baby grasped at its bottle
grimace,make a pained face, Mr. Pilson's rivals at ABC and NBC grimaced at the price
hammer,repeated pound on something,"After much fussing, he hammered in two thin pitons thirty feet up"
hide,to hide ones self or hide a thing,I ran and hid from my brother Mark
hug,hug your family closely,Takako ran to her friend and they hugged
ignite,set something on fire,He ignited his match across the rough sandpaper of his hand or he ignited the fuse
inflate,make a thing bigger by pumping air into it,We only partly inflated the balloon
jump,jump up a stool,The horse easily jumped the five foot fence
kick,kick in a karate class,I kicked the ball as hard as I could
kneel,to kneel with one or more knees on the ground,They will kneel and plead for Boris' leadership
knock,knock on a door,She knocked her head against the wall as she fell
lift,lift something I am holding higher into the air,I lifted the bike to the roof of the car
lock,using a lock mechanism,I locked my bike to the fence
lower,lowering something I am holding to a lower height,A co-worker lowered the shelf with great force
nod,nodding yes or no,"Michelle nodded her head, laughing"
open,open a door or a trunk,We had to open the soup can with a knife
pick up,pick up a barbell,"I picked up the phone and said, `Why don't you come to us?'"
plug,plug an appliance into a socket,I plugged the video-out port on my video card into the receiver
point,point at a friend in the crowd,They pointed to the gun lying on the ground
pour,pour milk into a coffee mug,Please pour me a glass of water
pull,pull on a rope,Tommy pulled the wagon behind him
push,push a tilting fence,He pushed the table into a corner
put,waiter puts an entrée on the table,She is putting the tray of food on the table
reach,reaching for a box on a shelf,We reached land by nightfall
remove,removing a cap from a bottle,The men removed their hats when entering the church
roll,rolling in the grass,The children rolled the ball across the field
row,rowing a boat,And he saw the followers working hard to row the boat 
run,running on a track,Just let the dogs run or Run the dishwasher
saw,sawing a tree by hand,He sawed the wood into even lengths
scream,yell with a look of excitement or fear,Samantha screamed in pain
sew,with needle,John sewed the button onto his shirt
shake,shake salt from a container onto a plate,His hands couldn't stop shaking
shoot,shoot a gun or cannon,He shot 3 innocent bystanders before being apprehended
show,display a thing for something else,The sales clerk showed me some nice suits
sit,sit down in a chair,He came and sat next to me
skewer,pierce a marshmallow,The chef skewered the chicken to make his kabobs
slide,slide across slippery ice,Cars were sliding all over the black ice
squat,bend at the knee while keeping an upright back,I'm squatting next to my flat tire
squeeze,compress something,Squeeze the lemon and add a couple tablespoons
stand up,stand up from the couch or set something upright,Can you stand the bookshelf up
stir,stir a pot of pasta,Always stir the paint before you begin
stop,begin slowing and halt,The car stopped at the red light
swim,swim in the lap pool,We had to swim for twenty minutes to reach the shore.
swing,"swing my arm, swing a club, or sit on a swing",My daughter loved to swing back and forth
take,to take possession of a thing,Morgan took back her necklace
talk,talking with a friend,The children were told not to talk to each other during the test
throw,throw a frisbee,My friend threw the ball back over the fence
turn,turn left or turn around,He turned toward me or She slowly turned the key in the lock
twist,twist the top one way while the bottom goes the other,He twisted the bolt into the wall
unplug,disconnect an appliance,We aren't about to unplug our IBM mainframes for a DEC machine
walk,walk down the aisle,He walks three miles every day
watch,"looking at or observing an event, scene, or person. Look out",I watched him as he walked off down the street
wave,swing my arm back and forth to wave,She waved to her father as the train pulled away from the station
write,using a writing tool to pen a letter,He wrote a memo to all the employees
zibaroon,jellyfish swim,
clap,,
sneeze,,
bicycle,,
shovel,,
box,,
ski,,
juggle,,
read,,
fish,,
knit,,
blow,,
smoke,,
laugh,,
cry,,
sing,,
